round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,val_acc_history,val_f1_history,unweighted_error,noisy_weight,clean_weight
1,0.7713749999999999,0.49056652370300946,0.09928571428571428,0.01806367771280052,0.09592857142857143,0.01750635468943492,0.771375,,
2,0.7336087107910154,0.5921075111990356,0.228625,0.10551315715963291,0.22635714285714287,0.10438421704334326,0.7493571428571428,,
3,0.8094570077388499,0.3753693827718675,0.25064285714285717,0.15931769821002467,0.2552142857142857,0.16142107555808552,0.8470178571428572,,
4,0.7833929758250757,0.4558374428508011,0.25064285714285717,0.15931769821002467,0.2552142857142857,0.16142107555808552,0.763375,,
5,0.7974426682666272,0.4134188003644921,0.3150178571428571,0.21322758607133835,0.3157857142857143,0.21466643456889117,0.7925178571428572,,
6,0.7775873577482362,0.4727814938900079,0.30126785714285714,0.21503715681309793,0.30192857142857144,0.2160327652673419,0.7513035714285714,,
7,0.8162044414454631,0.3531918789192069,0.2825535714285714,0.22635717705422498,0.2812857142857143,0.22664905265115678,0.8382678571428571,,
8,0.8168894476609536,0.3509054440973296,0.30907142857142855,0.25301372322431626,0.30964285714285716,0.2543920112044298,0.8233035714285715,,
9,0.8345002308962151,0.28968067860956215,0.31094642857142857,0.270646683896549,0.31292857142857144,0.27278098475724655,0.8603928571428572,,
10,0.8081343285072201,0.3796458920063487,0.31385714285714283,0.2819418404271378,0.3157142857142857,0.28259931857239046,0.8189107142857143,,
11,0.8324294326108628,0.2971403425483621,0.33475,0.29513874869018375,0.33735714285714286,0.29717437788945367,0.821375,,
12,0.8149217270007034,0.35745567104443643,0.3391071428571429,0.3100492402346051,0.34214285714285714,0.31249617314319716,0.8266785714285714,,
13,0.8325594383619659,0.2966741964975208,0.34116071428571426,0.3187527731913719,0.345,0.3219272737049709,0.8117857142857143,,
14,0.8248405792204511,0.3238654910513826,0.3404107142857143,0.3188429725398503,0.34385714285714286,0.3213458259559554,0.8191071428571428,,
15,0.82209526929241,0.33330823793990993,0.3494642857142857,0.32399447403124054,0.3525,0.32604613736923527,0.7841785714285714,,
16,0.8054900136767786,0.38812863888533644,0.35676785714285714,0.3310882523396068,0.3623571428571429,0.3360305574130743,0.7821964285714286,,
17,0.804687626427444,0.3906853047761788,0.35876785714285714,0.3291554639664287,0.3647142857142857,0.3341335322572994,0.8094464285714286,,
18,0.832050830033559,0.2984962092450457,0.3696785714285714,0.3400128112235928,0.37507142857142856,0.3442664810613746,0.8348035714285714,,
19,0.8259893486905805,0.3198796053545303,0.38051785714285713,0.34851015108475597,0.3866428571428571,0.3545385979904143,0.8310178571428571,,
20,0.8280587603167258,0.3126466237995923,0.3802142857142857,0.3530879200391442,0.3871428571428571,0.3586669467401509,0.8125357142857143,,
21,0.8382528901651694,0.2759694046306901,0.37691071428571427,0.3577657586692614,0.38521428571428573,0.3656212834372391,0.8344821428571428,,
22,0.825658151563836,0.32103088378862743,0.3804464285714286,0.35897428923947017,0.38707142857142857,0.3653602663144234,0.85625,,
23,0.8265978444957789,0.31775988901321905,0.3801607142857143,0.3637128961732049,0.38371428571428573,0.3665406810745178,0.7795892857142858,,
24,0.8324480406333354,0.29707363970932277,0.3784821428571429,0.3459382998619356,0.3787142857142857,0.3443498442739704,0.7791071428571429,,
25,0.8257242172081821,0.32080137005181786,0.39321428571428574,0.36363353278381877,0.3917857142857143,0.3613275206651203,0.7752678571428572,,
26,0.8486431720696558,0.23661295968139262,0.3962857142857143,0.3650454596339998,0.3947857142857143,0.3624573295953194,0.8415892857142857,,
27,0.8441367937125067,0.25394437890274957,0.3940714285714286,0.37132231066156957,0.39521428571428574,0.370850379772811,0.8403392857142857,,
28,0.8405102442151569,0.267597564715237,0.3973035714285714,0.3759958271600778,0.3984285714285714,0.3753380912502603,0.8521964285714285,,
29,0.828833881700407,0.30991968161472594,0.40116071428571426,0.3777500962742145,0.40014285714285713,0.37513567166076334,0.8069821428571429,,
30,0.8554091017314205,0.20977655241047033,0.4052142857142857,0.37572546554978664,0.4055714285714286,0.37515619346268136,0.8642857142857143,,
31,0.856541529802259,0.20518367998589804,0.40914285714285714,0.38464872776593956,0.41,0.3846356203056072,0.9010535714285715,,
32,0.8442586063656385,0.2534813113014547,0.4057857142857143,0.3823528920805264,0.4052857142857143,0.3806877126054484,0.805875,,
33,0.8414631268203987,0.2640347938394979,0.40483928571428573,0.3818416747830888,0.4024285714285714,0.3785725699472135,0.8309285714285715,,
34,0.8511007413172871,0.22698201844764698,0.40339285714285716,0.38157352833399183,0.4024285714285714,0.37926963173295564,0.8773392857142858,,
35,0.8359717436792988,0.28433423593550555,0.40566071428571426,0.38265987274878566,0.40435714285714286,0.38015047255811696,0.77775,,
36,0.8542218873626463,0.21455964262390448,0.4102857142857143,0.3848704152303794,0.4082857142857143,0.3822121743569745,0.8327678571428572,,
37,0.862131611775787,0.1820580790102171,0.40910714285714284,0.38532330582037366,0.40835714285714286,0.38325993516025136,0.8317321428571428,,
38,0.8584733469984375,0.19727850163684701,0.4045714285714286,0.3823410311931533,0.4039285714285714,0.3811056967710472,0.8769285714285714,,
39,0.8368585077997296,0.28109372127420607,0.40266071428571426,0.38021133880645047,0.40264285714285714,0.37981985007165836,0.7896785714285715,,
40,0.8614481549190919,0.18492714574415348,0.4052857142857143,0.38424768743203747,0.40764285714285714,0.3859431045001779,0.9086071428571428,,
41,0.8562046474678499,0.2065531407091954,0.405375,0.38603488698294003,0.4067142857142857,0.38650634311329135,0.8628392857142857,,
42,0.8561217105687988,0.20688987797864733,0.40569642857142857,0.3914843411780207,0.40464285714285714,0.3884711301847589,0.8275178571428572,,
43,0.8675889670630023,0.1587087427262246,0.41032142857142856,0.3937872515386268,0.4115714285714286,0.3938056968761936,0.8744285714285714,,
44,0.8481043114916478,0.2387074828617718,0.40864285714285714,0.39149188482524677,0.4115714285714286,0.39328108280973517,0.7942857142857143,,
45,0.8542739173357613,0.21435070104368414,0.41114285714285714,0.3961964443283542,0.4107142857142857,0.39449727456897044,0.8515714285714285,,
46,0.8524441953536721,0.221661635565374,0.406875,0.3930635223427707,0.40364285714285714,0.388700637784831,0.8311071428571428,,
47,0.8540263858456112,0.21534418382794818,0.4117321428571429,0.39719734750521285,0.40914285714285714,0.3929009693069601,0.8375535714285715,,
48,0.8408938945489427,0.26616520033706614,0.4114642857142857,0.39614067898277316,0.4099285714285714,0.39300419187689667,0.8025714285714286,,
49,0.8442658638378431,0.2534537128900135,0.4124107142857143,0.395656130776178,0.41314285714285715,0.3947199744138147,0.8879107142857143,,
50,0.8559430981067896,0.20761452556923676,0.4130892857142857,0.3972563564053887,0.4134285714285714,0.3958224709580197,0.9053571428571429,,
51,0.851477542424703,0.2254938139937609,0.4145714285714286,0.3967039026125484,0.41435714285714287,0.39476294119624733,0.8132321428571428,,
52,0.8585600161765523,0.19692173788818668,0.4157142857142857,0.39522637875560424,0.41435714285714287,0.3924341322109617,0.8725357142857143,,
53,0.8452834814023436,0.24957352771734953,0.41675,0.39968764049683575,0.41514285714285715,0.3972460514278726,0.8509107142857143,,
54,0.8528715231401272,0.21996092807882117,0.4200357142857143,0.4029192937717599,0.4164285714285714,0.39825042041618003,0.873375,,
55,0.8488153869533598,0.23594227765639286,0.41926785714285714,0.4019818367695714,0.41435714285714287,0.39617391057092716,0.8139821428571429,,
56,0.8622972289456521,0.181361041164257,0.4239107142857143,0.40482216756750244,0.41614285714285715,0.3959093748428371,0.8580892857142857,,
57,0.8699130370015493,0.1485172505529635,0.42551785714285717,0.40792149979828024,0.41942857142857143,0.40068637086026176,0.8956428571428572,,
58,0.8619210841087543,0.18294311830826393,0.42610714285714285,0.4109737349461652,0.4205,0.4042668445101629,0.8285178571428572,,
59,0.8620044126085336,0.18259294843601537,0.42648214285714287,0.4134035205452412,0.4190714285714286,0.40441547978684866,0.8742857142857143,,
60,0.8712659317187753,0.1425130598817409,0.4270535714285714,0.41372026286681934,0.42064285714285715,0.40595232783460267,0.803375,,
61,0.8623816496370506,0.18100546623073088,0.4270357142857143,0.4106190950658621,0.42064285714285715,0.40325250238560884,0.8714642857142857,,
62,0.8724997052831331,0.1369904685723582,0.42578571428571427,0.4087882923998614,0.41878571428571426,0.40112413986007595,0.8859464285714286,,
63,0.8596267763456198,0.19251551098504638,0.426875,0.41104774510895864,0.4205,0.4032227979621701,0.8853214285714286,,
64,0.8583314320520238,0.19786228448472987,0.42839285714285713,0.416422837046459,0.42378571428571427,0.41097863206010066,0.8283214285714285,,
65,0.8719996353099283,0.1392343423533151,0.4280892857142857,0.4129780506729511,0.4258571428571429,0.41023922819016667,0.8670535714285714,,
66,0.8680789430075599,0.1565728046198629,0.42692857142857144,0.4114007039291094,0.42278571428571426,0.40654310791648357,0.8816071428571428,,
67,0.8599771479099441,0.19106219957150172,0.42725,0.4138185825031136,0.4217142857142857,0.4077461210598402,0.8525714285714285,,
68,0.8688195931695339,0.15333130179781684,0.42760714285714285,0.4126137068963347,0.4235,0.40762593648801115,0.8607321428571428,,
