round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,val_acc_history,val_f1_history,unweighted_error,noisy_weight,clean_weight
1,0.6242321428571428,1.6896738058444418,0.098,0.01785063752276867,0.09621428571428571,0.01755391933276862,0.6242321428571429,0.30025000000000013,0.6997500000000002
2,0.6758607752107437,1.4624106059696844,0.37576785714285715,0.32752454989118124,0.3792142857142857,0.3316463443884006,0.6514107142857143,0.3979582513707234,0.6020417486292768
3,0.7435866884638234,1.1325298638899544,0.37576785714285715,0.32752454989118124,0.3792142857142857,0.3316463443884006,0.7151785714285714,0.4936599660397767,0.5063400339602233
4,0.7990062067045517,0.817129891964496,0.41735714285714287,0.3960169155647785,0.42214285714285715,0.4005033486237462,0.7597857142857143,0.5626586363316731,0.4373413636683269
5,0.821049832465086,0.6737481458703298,0.4758392857142857,0.47102283256503813,0.4769285714285714,0.4713408321570651,0.7632678571428572,0.60210472736164,0.39789527263836
6,0.8330082930464533,0.5901251318038447,0.49891071428571426,0.4954144921145491,0.49707142857142855,0.4936755099178833,0.7397321428571428,0.6319866813490858,0.36801331865091436
7,0.8521880410511967,0.44535828769052666,0.5111785714285715,0.5064658281513454,0.5108571428571429,0.5057698817333527,0.8270714285714286,0.6572505616482571,0.3427494383517427
8,0.8596144028217825,0.38513355957676043,0.51175,0.5081231501926569,0.5098571428571429,0.5058593077977116,0.8450892857142858,0.671994114312136,0.3280058856878641
9,0.8505621360381233,0.45820779068442996,0.5148214285714285,0.5120976999002703,0.5160714285714286,0.512981551452928,0.8042321428571428,0.6806467165234873,0.31935328347651293
10,0.8618033391638027,0.3668752267427413,0.526625,0.5240599289313317,0.5274285714285715,0.5244999971024791,0.7990178571428571,0.6917068398841517,0.3082931601158482
11,0.8581203145232148,0.39745967403944404,0.5308392857142857,0.5283085581605093,0.531,0.528287798306477,0.7874642857142857,0.7021875780862303,0.2978124219137697
12,0.8659320217748253,0.33176514015617675,0.5373214285714286,0.5354074489387484,0.5338571428571428,0.5317188406526345,0.8371964285714286,0.7157610252838844,0.2842389747161154
13,0.8624114609822457,0.36175971764174375,0.5401607142857143,0.5380396407519451,0.5374285714285715,0.5350711277275545,0.8135,0.721599121652399,0.27840087834760086
14,0.8710309275793714,0.28711971992631535,0.5442321428571428,0.5419244189604792,0.5394285714285715,0.5368979008439215,0.9137678571428571,0.7288141945805171,0.2711858054194827
15,0.8744652732229412,0.2561944217852643,0.5462321428571428,0.544238508126166,0.5411428571428571,0.5388575116600817,0.8668392857142857,0.7286514004314419,0.271348599568558
16,0.8708205326598825,0.2889913263802544,0.5485714285714286,0.5468284834325965,0.5435714285714286,0.5414309729356545,0.879375,0.7321894858629509,0.26781051413704915
17,0.8753410295065283,0.2481927917343849,0.5518928571428572,0.550396885571004,0.5477142857142857,0.5457018232958383,0.8255,0.7353072712397153,0.2646927287602847
18,0.8723889238774911,0.2749764098521983,0.555375,0.55353472899785,0.5512857142857143,0.5488997869147979,0.8404642857142857,0.7384186661935781,0.261581333806422
19,0.8718055119586375,0.2802067636134009,0.556625,0.5544803068846763,0.554,0.5514103883607522,0.8350357142857143,0.7408717783906664,0.2591282216093337
20,0.8719494217210229,0.2789184863987302,0.559375,0.5575219602778035,0.5557857142857143,0.5533563501435153,0.8960535714285714,0.7468827741902269,0.25311722580977325
21,0.8733881732137737,0.2659704013438322,0.5590714285714286,0.5572843521749278,0.5557142857142857,0.5533685045368316,0.8946607142857143,0.7479539366959469,0.252046063304053
22,0.8802714806402957,0.20222105787146827,0.5608392857142858,0.5589793345518658,0.5580714285714286,0.5555221930155384,0.8805,0.749071843286139,0.25092815671386104
23,0.8772153438645597,0.23090412694880924,0.5602678571428571,0.55841161879575,0.5579285714285714,0.555476738818563,0.907125,0.7506304673315145,0.24936953266848552
24,0.8787783089686441,0.2163129462154516,0.5619821428571429,0.5602026036342531,0.5592142857142857,0.5569948367223541,0.8399285714285715,0.7506701385774516,0.24932986142254862
25,0.8759907917329057,0.24222482124188938,0.5627678571428572,0.5608164226643447,0.5597857142857143,0.5574307793190842,0.9130535714285715,0.7534224197610029,0.24657758023899695
